"Carimbo de data/hora","Seguir rigorosamente a dose padrão recomendada na bula (ex: Adultos: 50mg a cada 8h) é a melhor forma de garantir que nenhum paciente sofra intoxicação medicamentosa.  ","A investigação de riscos genéticos e a definição da terapia personalizada são responsabilidades exclusivas da equipe médica, cabendo ao farmacêutico apenas a dispensação da medicação prescrita.  ","Apenas o teste de DNA laboratorial serve para identificar riscos farmacogenéticos. Perguntas sobre o histórico familiar do paciente ajudam pouco nesse sentido.  ","Quando um paciente tem uma reação muito forte a um medicamento logo na primeira dose, quase sempre é porque ele tem alergia àquela substância.  ","Reações adversas graves a medicamentos (como uma intoxicação severa) são quase sempre eventos imprevisíveis e inevitáveis, uma questão de ""azar"" do paciente.  ","A farmacogenética estuda principalmente:"
"2026/06/01 7:04:39 PM GMT-3","2","1","1","1","2","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:05:01 PM GMT-3","5","1","1","4","5","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:05:26 PM GMT-3","5","1","2","3","2","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:05:32 PM GMT-3","3","3","1","4","3","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:05:33 PM GMT-3","5","5","1","2","2","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:05:33 PM GMT-3","4","1","3","4","2","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:05:58 PM GMT-3","4","2","1","3","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:06:18 PM GMT-3","4","1","2","3","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:06:20 PM GMT-3","5","1","1","2","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:06:27 PM GMT-3","2","4","1","2","2","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:06:29 PM GMT-3","1","2","1","4","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:06:30 PM GMT-3","4","1","1","4","2","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:06:39 PM GMT-3","4","2","2","3","2","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:06:46 PM GMT-3","5","1","2","2","3","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:07:13 PM GMT-3","4","1","2","2","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:07:53 PM GMT-3","4","2","2","4","3","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:07:54 PM GMT-3","5","1","1","2","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:08:02 PM GMT-3","1","1","1","3","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:08:03 PM GMT-3","5","1","1","2","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:08:15 PM GMT-3","5","1","1","4","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:08:31 PM GMT-3","4","2","2","2","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:08:33 PM GMT-3","2","1","1","2","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:08:38 PM GMT-3","1","2","3","2","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:08:58 PM GMT-3","4","1","2","2","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:09:22 PM GMT-3","1","2","1","2","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:09:24 PM GMT-3","1","1","1","1","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:09:32 PM GMT-3","5","1","1","4","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:09:49 PM GMT-3","2","1","1","4","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:10:10 PM GMT-3","5","5","5","5","5","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:13:10 PM GMT-3","5","2","3","4","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:13:15 PM GMT-3","2","1","1","4","1","Como as variações genéticas influenciam a resposta aos medicamentos"
"2026/06/01 7:13:22 PM GMT-3","4","1","1","3","1","Como as variações genéticas influenciam a resposta aos medicamentos"
